Jugador,Positivo,Neutro,Negativo,Fallido
Mayol Felipe,,7,,
Potente Guido,1,8,2,2
Solas Matias,,8,3,
Iriart Fausto,1,7,,3
Naselli Martin,,3,1,1
De siena Juan M,,12,,
Coniglio Nicolás,,18,1,1
De dios Manuel,,2,,3
Di pace Juan,,3,1,1
Mariani Santiago,,5,,1
De siena Federico,,,,
Camilion Francisco,,13,,
Krainbuhl Thyago,2,6,,1
Garcia A Joaquin,,3,,
Lorente Mateo,,4,,
Cagnone Santiago,,4,,
Gaspari Agustin,,3,,
Dallan Franco,,8,,
Capozzo Tomás,,2,,
Stocco Enzo,,2,,
Sánchez N Joaquín,,3,,
Temperley Jeronimo,,4,,
Soberon Julian,,1,,